store,n_samples_total,n_folds_used,w_raw_mean,w_raw_std,gain_mean,gain_median,gain_std,pos_ratio,select_flag,w_global,w_store_final
느티나무 셀프BBQ,644,4,0.025,0.05,0.6193852159852966,0.16933535906787966,1.021584748275335,0.75,True,0.065,0.03447867298578199
담하,1176,4,0.045,0.09,0.0352458967403777,0.010785538741135525,0.057025040861426825,0.5,False,0.065,0.065
라그로타,700,4,0.7425,0.20353132437047622,2.4253871865606342,1.7966523454405703,1.7567314948001047,1.0,True,0.065,0.365
미라시아,868,4,0.33,0.35870136139505615,0.3633596734344753,0.020790384924200822,0.6991843398665075,0.75,True,0.065,0.280374531835206
연회장,644,4,0.045,0.09000000000000001,0.482902863429981,0.05396551570498964,0.8952985885953171,0.5,False,0.065,0.065
카페테리아,672,4,0.245,0.49,3.5402927577978947,0.047419330288203554,7.017502155052306,0.5,False,0.065,0.065
포레스트릿,336,4,0.10750000000000001,0.12148388096094614,1.1155687970493915,0.2678697044452356,1.8824426079359065,0.75,True,0.065,0.09164179104477613
화담숲주막,224,4,0.0325,0.04272001872658766,0.3874278343090225,0.10705828800805683,0.6371957167331825,0.75,True,0.065,0.04783018867924528
