store,n_samples_total,n_folds_used,w_raw_mean,w_raw_std,gain_mean,gain_median,gain_std,pos_ratio,select_flag,w_global,w_store_final
느티나무 셀프BBQ,966,6,0.10833333333333334,0.2101824604163408,0.887214774556225,0.19603674874628396,1.2917925913881576,0.6666666666666666,False,0.03,0.03
담하,1764,6,0.03,0.07348469228349534,0.0,0.0,0.0,0.0,False,0.03,0.03
라그로타,1050,6,0.6699999999999999,0.3586084215408221,2.6591349887289333,2.981491233750141,1.9590149643695023,0.8333333333333334,True,0.03,0.32999999999999996
미라시아,1302,6,0.105,0.2427962108435797,0.42020785925611054,0.0,0.971783244244006,0.3333333333333333,False,0.03,0.03
연회장,966,6,0.051666666666666666,0.07386925386564201,0.34417492744324285,0.23380503935102404,0.42761751624685296,0.5,False,0.03,0.03
카페테리아,1008,6,0.3333333333333333,0.5163977794943223,2.3070772649987816,0.0,3.7142492041066397,0.3333333333333333,False,0.03,0.03
포레스트릿,504,6,0.20833333333333334,0.363010559993324,2.7157890099819952,0.35739934987444855,5.007390683293259,0.5,False,0.03,0.03
화담숲주막,336,6,0.03,0.07348469228349534,0.14036714600877195,0.0,0.2229544317343806,0.3333333333333333,False,0.03,0.03
