store,n_samples_total,n_folds_used,w_raw_mean,w_raw_std,gain_mean,gain_median,gain_std,pos_ratio,select_flag,w_global,w_store_final
느티나무 셀프BBQ,644,4,0.045,0.05259911279353167,0.4862511312881672,0.22765790908327688,0.6833685215265939,0.75,True,0.065,0.049739336492890994
담하,1176,4,0.045,0.09,0.037780934845780934,0.02194744355981726,0.050712232980830434,0.5,False,0.065,0.065
라그로타,700,4,0.5,0.35289280714309457,2.1378095633849643,2.2619058344085126,1.9783397963092553,1.0,True,0.065,0.365
미라시아,868,4,0.17500000000000002,0.323882694814033,0.6106016421031946,0.018124500739538973,1.197159243885856,0.5,False,0.065,0.065
연회장,644,4,0.045,0.09000000000000001,0.47915480149407585,0.0764724729809263,0.8593760831272661,0.5,False,0.065,0.065
카페테리아,672,4,0.25,0.5,3.337620779811898,0.04545191090432965,6.61477781865629,0.5,False,0.065,0.065
포레스트릿,336,4,0.08,0.16,1.4513045560633469,0.13508786075641055,2.725469425612073,0.5,False,0.065,0.065
화담숲주막,224,4,0.145,0.1268857754044952,0.2278577298072193,0.1060045029739296,0.3186973872671098,0.75,False,0.065,0.065
